amount_expected,amount_actual,amount_diff_pct,time_pending_seconds,decline_code_category,remitter_bank_historical_td_rate,is_duplicate_flag,label
39725.78,39725.78,0.0,10,none,0.2093,0,no_mismatch
69749.58,69749.58,0.0,88,none,0.0391,0,stuck_payment
78285.27,78285.27,0.0,55,none,0.0265,0,stuck_payment
1363.95,1363.95,0.0,63,BD,0.2406,0,stuck_payment
82887.86,82887.86,0.0,56,TD,0.1352,0,wrong_amount
61629.64,61629.64,0.0,100,none,0.1145,0,stuck_payment
26912.71,26912.71,0.0,107,none,0.0769,0,stuck_payment
75072.58,75072.58,0.0,86,none,0.0169,0,stuck_payment
18265.8,18265.8,0.0,103,TD,0.0771,0,no_mismatch
88022.72,88022.72,0.0,67,none,0.0305,0,stuck_payment
48908.93,48908.93,0.0,89,none,0.1808,0,stuck_payment
1822.6,1822.6,0.0,52,none,0.0835,0,stuck_payment
47378.72,47378.72,0.0,55,none,0.1421,0,stuck_payment
45429.15,45429.15,0.0,30,BD,0.0562,0,no_mismatch
53632.81,53632.81,0.0,24,TD,0.1873,0,no_mismatch
58999.73,58999.73,0.0,77,TD,0.0341,0,no_mismatch
22825.57,22727.7,0.4288,36,BD,0.0231,0,no_mismatch
94414.55,94414.55,0.0,97,none,0.2195,0,stuck_payment
46992.75,46992.75,0.0,24,none,0.0706,0,no_mismatch
11497.31,9800.67,14.7568,20,BD,0.1451,0,wrong_amount
99392.42,76598.22,22.9335,100,none,0.1181,0,wrong_amount
86030.65,86030.65,0.0,40,none,0.0245,0,no_mismatch
10013.43,10013.43,0.0,81,TD,0.1685,0,no_mismatch
17463.97,17478.99,0.086,89,none,0.0799,0,wrong_amount
70724.89,70724.89,0.0,59,BD,0.066,0,no_mismatch
79145.65,79145.65,0.0,103,none,0.112,0,stuck_payment
64798.71,64798.71,0.0,106,BD,0.0243,0,no_mismatch
59544.9,59544.9,0.0,118,TD,0.0398,0,stuck_payment
70003.4,70003.4,0.0,65,none,0.1151,0,no_mismatch
88953.35,88953.35,0.0,78,TD,0.0319,0,no_mismatch
83612.27,83612.27,0.0,3,none,0.1713,0,no_mismatch
4119.14,4119.14,0.0,61,none,0.1161,0,stuck_payment
99694.85,99694.85,0.0,105,none,0.0319,0,stuck_payment
33397.51,33397.51,0.0,110,TD,0.1088,0,no_mismatch
66292.1,66292.1,0.0,98,none,0.1192,0,stuck_payment
32395.05,32395.05,0.0,52,none,0.208,1,duplicate_charge
86949.81,86949.81,0.0,7,TD,0.0968,0,wrong_amount
62578.33,62578.33,0.0,27,TD,0.0414,0,no_mismatch
88096.58,88096.58,0.0,4,none,0.1561,0,no_mismatch
15921.98,15921.98,0.0,71,none,0.0639,0,stuck_payment
11434.77,11434.77,0.0,83,none,0.1296,0,stuck_payment
50936.31,50936.31,0.0,107,none,0.1233,0,no_mismatch
14549.73,11933.09,17.9841,111,BD,0.1954,0,no_mismatch
34053.54,34053.54,0.0,35,none,0.0779,0,no_mismatch
58735.08,58735.08,0.0,63,none,0.1172,0,stuck_payment
33310.75,33310.75,0.0,49,none,0.0872,0,stuck_payment
69780.09,69780.09,0.0,30,none,0.1086,0,wrong_amount
47350.33,47350.33,0.0,49,none,0.1693,0,stuck_payment
98083.73,98083.73,0.0,5,BD,0.2417,0,no_mismatch
10126.42,10126.42,0.0,13,none,0.1197,0,no_mismatch
41056.86,41056.86,0.0,20,BD,0.1976,0,no_mismatch
62363.61,62363.61,0.0,11,none,0.2146,0,stuck_payment
38062.94,38062.94,0.0,92,none,0.1271,0,stuck_payment
61784.2,61784.2,0.0,88,none,0.2494,0,stuck_payment
43453.75,35191.77,19.0133,57,TD,0.0819,1,duplicate_charge
32505.03,36001.23,10.7559,19,TD,0.1089,0,no_mismatch
18087.68,21395.36,18.2869,80,none,0.1294,0,wrong_amount
23295.63,23295.63,0.0,59,TD,0.0123,0,no_mismatch
90130.82,90130.82,0.0,21,BD,0.2369,0,no_mismatch
29985.51,29985.51,0.0,89,TD,0.2129,0,no_mismatch
38530.86,38530.86,0.0,31,none,0.0962,0,no_mismatch
69957.98,87378.48,24.9014,36,BD,0.2176,0,no_mismatch
97362.92,97362.92,0.0,96,none,0.227,0,stuck_payment
79906.13,79906.13,0.0,46,TD,0.0556,0,no_mismatch
75582.17,75582.17,0.0,88,none,0.1608,0,stuck_payment
64669.43,64669.43,0.0,57,BD,0.0976,0,no_mismatch
90971.82,90971.82,0.0,54,TD,0.0417,0,no_mismatch
97151.81,97151.81,0.0,117,TD,0.0495,0,no_mismatch
94424.36,94424.36,0.0,38,none,0.0913,0,no_mismatch
96293.04,124213.25,28.995,109,none,0.0978,0,wrong_amount
1490.47,1490.47,0.0,59,none,0.1898,0,stuck_payment
38164.45,38164.45,0.0,48,BD,0.0661,1,duplicate_charge
88435.06,88435.06,0.0,118,none,0.1654,0,stuck_payment
46480.33,46480.33,0.0,84,none,0.0435,0,stuck_payment
30506.02,30506.02,0.0,13,TD,0.139,0,no_mismatch
37164.05,37164.05,0.0,90,none,0.1106,0,duplicate_charge
15536.84,15536.84,0.0,13,none,0.1578,0,no_mismatch
28046.04,28046.04,0.0,28,none,0.2381,0,no_mismatch
10025.53,10025.53,0.0,70,none,0.1648,1,duplicate_charge
27660.56,27660.56,0.0,109,none,0.032,0,stuck_payment
63985.34,63985.34,0.0,7,none,0.0685,0,no_mismatch
56501.34,43531.38,22.9551,76,TD,0.2187,0,no_mismatch
14840.66,14840.66,0.0,1,TD,0.2462,0,no_mismatch
54067.52,54067.52,0.0,15,none,0.0162,1,duplicate_charge
79019.47,79019.47,0.0,42,BD,0.0737,0,no_mismatch
42153.96,42958.66,1.909,100,none,0.1525,0,wrong_amount
22232.82,22232.82,0.0,94,none,0.2181,0,stuck_payment
45858.45,45858.45,0.0,8,none,0.2134,0,no_mismatch
10885.39,10885.39,0.0,57,BD,0.0294,0,no_mismatch
6661.66,6661.66,0.0,82,none,0.1809,0,stuck_payment
59779.45,59779.45,0.0,65,none,0.0338,0,stuck_payment
85293.99,85293.99,0.0,99,none,0.2177,0,stuck_payment
88820.29,88820.29,0.0,106,none,0.1098,1,duplicate_charge
42733.72,42733.72,0.0,48,none,0.1748,0,stuck_payment
9213.36,10407.64,12.9625,104,BD,0.0244,0,no_mismatch
56212.17,56212.17,0.0,53,none,0.1697,0,stuck_payment
86822.41,86822.41,0.0,37,none,0.0944,0,no_mismatch
21352.61,21352.61,0.0,29,none,0.094,0,no_mismatch
11577.04,11577.04,0.0,29,none,0.2128,0,no_mismatch
81860.84,81860.84,0.0,83,none,0.1562,0,stuck_payment
69377.77,75066.16,8.1992,118,none,0.0115,0,stuck_payment
56675.48,56675.48,0.0,19,none,0.2432,1,duplicate_charge
53095.22,53095.22,0.0,59,none,0.0988,0,stuck_payment
77705.88,77705.88,0.0,11,none,0.0473,0,no_mismatch
5071.27,5745.97,13.3044,63,none,0.1094,0,wrong_amount
51283.4,51283.4,0.0,15,TD,0.1728,0,no_mismatch
66746.54,58831.2,11.8588,1,TD,0.2369,0,no_mismatch
76439.67,76439.67,0.0,16,BD,0.1893,0,no_mismatch
38082.72,38082.72,0.0,65,none,0.1703,0,stuck_payment
39767.41,39767.41,0.0,56,BD,0.2311,0,no_mismatch
57618.34,57618.34,0.0,91,none,0.0795,0,stuck_payment
96623.35,124091.9,28.4285,107,none,0.0968,0,wrong_amount
10675.73,10675.73,0.0,52,none,0.105,0,stuck_payment
34017.38,34017.38,0.0,22,BD,0.162,0,no_mismatch
19470.98,19470.98,0.0,45,none,0.2065,0,stuck_payment
23703.26,22299.66,5.9215,98,none,0.0281,0,wrong_amount
62832.08,62832.08,0.0,73,none,0.1177,0,wrong_amount
56492.73,56492.73,0.0,80,none,0.243,0,stuck_payment
44032.31,44032.31,0.0,81,none,0.0759,1,duplicate_charge
50782.95,50782.95,0.0,58,BD,0.0985,0,no_mismatch
64502.18,64502.18,0.0,12,none,0.1317,0,no_mismatch
55476.21,55476.21,0.0,115,BD,0.2282,0,no_mismatch
18905.12,18905.12,0.0,65,TD,0.0248,0,wrong_amount
89922.77,89922.77,0.0,92,BD,0.1651,1,duplicate_charge
70791.41,70791.41,0.0,68,none,0.0481,0,stuck_payment
28361.07,28361.07,0.0,44,none,0.0226,0,stuck_payment
33531.47,33531.47,0.0,72,none,0.0782,0,stuck_payment
65690.75,65690.75,0.0,112,TD,0.0296,0,no_mismatch
91682.97,91682.97,0.0,84,none,0.1041,0,stuck_payment
93806.42,93806.42,0.0,49,none,0.0888,0,stuck_payment
70312.8,70312.8,0.0,88,none,0.0324,0,stuck_payment
50898.0,46181.11,9.2673,44,none,0.1267,0,wrong_amount
13842.78,10335.85,25.334,65,none,0.2104,0,wrong_amount
3870.97,3870.97,0.0,99,none,0.1533,0,stuck_payment
18166.51,18166.51,0.0,80,none,0.0497,0,stuck_payment
41144.78,41144.78,0.0,31,none,0.1565,0,no_mismatch
78401.66,78401.66,0.0,31,none,0.2041,0,no_mismatch
83527.83,83527.83,0.0,74,none,0.1208,0,stuck_payment
38249.06,38249.06,0.0,21,none,0.2023,0,no_mismatch
25075.32,25075.32,0.0,112,none,0.2342,0,stuck_payment
51639.35,50339.06,2.518,35,none,0.1332,0,wrong_amount
9262.19,9262.19,0.0,105,none,0.0939,1,duplicate_charge
5420.36,5420.36,0.0,31,none,0.0296,0,no_mismatch
31936.62,38784.48,21.442,102,BD,0.0192,0,no_mismatch
47298.25,47298.25,0.0,98,none,0.1177,1,duplicate_charge
8014.65,8014.65,0.0,107,BD,0.2357,0,no_mismatch
42383.15,42383.15,0.0,31,none,0.0215,0,no_mismatch
79410.52,79410.52,0.0,15,none,0.13,0,no_mismatch
63232.3,63232.3,0.0,92,BD,0.113,0,no_mismatch
24132.37,24132.37,0.0,86,none,0.1356,0,stuck_payment
95345.03,95345.03,0.0,101,none,0.143,0,stuck_payment
47066.49,47066.49,0.0,48,TD,0.0139,0,no_mismatch
34545.77,34545.77,0.0,81,BD,0.1497,0,no_mismatch
13427.62,13427.62,0.0,44,none,0.052,0,stuck_payment
46515.83,46515.83,0.0,81,TD,0.0424,0,wrong_amount
94366.15,88658.34,6.0486,114,BD,0.234,0,duplicate_charge
98913.36,98913.36,0.0,33,BD,0.1653,0,no_mismatch
86227.64,103190.63,19.6723,16,none,0.1149,0,wrong_amount
44029.69,44029.69,0.0,44,none,0.1291,0,stuck_payment
92438.62,92438.62,0.0,103,BD,0.1119,0,no_mismatch
99510.31,90739.77,8.8137,11,none,0.081,0,wrong_amount
71794.52,81356.13,13.318,6,none,0.2288,0,wrong_amount
43550.56,43550.56,0.0,102,none,0.028,0,duplicate_charge
36394.78,36394.78,0.0,87,TD,0.0175,0,wrong_amount
67841.08,67841.08,0.0,17,BD,0.1968,0,no_mismatch
38347.15,38347.15,0.0,78,TD,0.118,0,stuck_payment
44449.53,46286.54,4.1328,51,none,0.0769,0,wrong_amount
2688.74,2270.63,15.5504,34,none,0.179,0,wrong_amount
61226.53,61226.53,0.0,63,TD,0.0426,1,duplicate_charge
17348.37,17348.37,0.0,12,none,0.2422,0,no_mismatch
66817.2,66817.2,0.0,71,none,0.2239,0,stuck_payment
71209.73,71209.73,0.0,82,TD,0.0968,0,no_mismatch
98514.74,98514.74,0.0,31,none,0.0163,0,no_mismatch
36954.23,36954.23,0.0,71,BD,0.2222,1,stuck_payment
39876.18,39876.18,0.0,62,none,0.1946,0,stuck_payment
7467.7,7467.7,0.0,83,BD,0.1218,0,no_mismatch
12920.63,12920.63,0.0,71,none,0.0537,0,stuck_payment
43318.57,43318.57,0.0,8,none,0.1343,0,no_mismatch
16280.5,16280.5,0.0,29,none,0.2358,0,duplicate_charge
84608.78,84608.78,0.0,82,none,0.0759,0,stuck_payment
61481.39,49658.39,19.2302,22,none,0.183,0,wrong_amount
84268.75,84268.75,0.0,106,none,0.0295,0,stuck_payment
77125.13,77125.13,0.0,27,none,0.11,0,no_mismatch
49854.0,49854.0,0.0,38,none,0.0825,0,no_mismatch
80754.2,80754.2,0.0,59,BD,0.0244,0,no_mismatch
48476.69,48476.69,0.0,78,BD,0.2168,0,no_mismatch
98803.53,98803.53,0.0,52,BD,0.0989,0,no_mismatch
31979.68,31979.68,0.0,35,none,0.0438,1,wrong_amount
94543.95,94543.95,0.0,54,TD,0.2177,0,no_mismatch
32810.84,32810.84,0.0,41,TD,0.0482,0,no_mismatch
46734.83,46734.83,0.0,64,BD,0.2369,0,no_mismatch
96671.99,96671.99,0.0,46,BD,0.0775,0,no_mismatch
84300.68,84300.68,0.0,37,none,0.2133,0,no_mismatch
88257.33,88257.33,0.0,98,none,0.0209,1,duplicate_charge
56225.5,56225.5,0.0,37,BD,0.131,0,stuck_payment
28044.1,28044.1,0.0,88,none,0.0409,1,duplicate_charge
37382.51,37382.51,0.0,72,none,0.1912,0,stuck_payment
50961.34,50961.34,0.0,6,BD,0.1813,0,no_mismatch
51981.34,38053.38,26.7942,42,none,0.0864,0,wrong_amount
61688.4,61688.4,0.0,76,none,0.2088,0,stuck_payment
70903.11,70903.11,0.0,105,BD,0.0895,0,no_mismatch
41712.37,41712.37,0.0,116,none,0.1751,1,duplicate_charge
47511.56,47511.56,0.0,101,none,0.1488,0,stuck_payment
5230.38,5230.38,0.0,68,none,0.1587,0,stuck_payment
14862.79,14862.79,0.0,5,none,0.1781,0,no_mismatch
44159.75,44159.75,0.0,53,none,0.1085,0,stuck_payment
92060.04,92060.04,0.0,95,none,0.1794,0,no_mismatch
56132.59,56132.59,0.0,62,none,0.0853,0,stuck_payment
91221.2,91221.2,0.0,46,none,0.2182,0,stuck_payment
80384.89,80384.89,0.0,62,TD,0.0692,0,no_mismatch
22564.22,22564.22,0.0,39,none,0.1792,0,no_mismatch
48951.41,48951.41,0.0,72,none,0.2009,0,stuck_payment
12275.22,12275.22,0.0,49,none,0.1047,0,stuck_payment
77329.13,76352.28,1.2632,45,none,0.1674,0,wrong_amount
21477.28,21477.28,0.0,35,none,0.1771,0,no_mismatch
61606.14,61606.14,0.0,32,BD,0.2272,0,no_mismatch
23360.37,25675.77,9.9117,13,none,0.043,0,wrong_amount
97793.28,116948.19,19.5871,62,none,0.1914,0,wrong_amount
28612.99,22014.1,23.0626,69,none,0.2141,1,duplicate_charge
92154.94,92154.94,0.0,108,TD,0.2307,0,no_mismatch
39759.76,39759.76,0.0,120,none,0.2193,0,stuck_payment
3842.87,3842.87,0.0,78,BD,0.2459,0,no_mismatch
98911.04,98911.04,0.0,64,none,0.0422,0,duplicate_charge
27356.42,27356.42,0.0,43,TD,0.1201,0,no_mismatch
18701.29,18701.29,0.0,102,TD,0.1719,0,no_mismatch
61134.35,61134.35,0.0,52,none,0.1337,1,duplicate_charge
66958.66,69784.07,4.2196,120,TD,0.0726,0,no_mismatch
75400.29,75400.29,0.0,39,none,0.1475,0,no_mismatch
36019.25,36019.25,0.0,86,BD,0.0836,0,no_mismatch
50301.8,50301.8,0.0,91,none,0.1757,0,stuck_payment
94069.5,94069.5,0.0,29,TD,0.0421,0,no_mismatch
74798.71,74798.71,0.0,54,none,0.2291,0,stuck_payment
80219.3,80219.3,0.0,98,TD,0.1911,0,no_mismatch
8278.84,8278.84,0.0,91,none,0.2301,0,stuck_payment
82894.53,82894.53,0.0,26,none,0.046,0,no_mismatch
52082.12,55292.24,6.1636,12,none,0.1169,1,duplicate_charge
13281.24,13281.24,0.0,73,BD,0.121,0,no_mismatch
72355.68,72355.68,0.0,105,BD,0.0623,1,duplicate_charge
42427.37,42427.37,0.0,70,none,0.2343,1,duplicate_charge
93384.18,81929.08,12.2666,99,none,0.185,0,wrong_amount
37508.65,37508.65,0.0,58,none,0.2276,0,stuck_payment
68304.76,68304.76,0.0,70,BD,0.2165,0,no_mismatch
99285.39,99285.39,0.0,17,none,0.0634,1,wrong_amount
2371.26,2371.26,0.0,87,none,0.1118,0,stuck_payment
23043.44,23043.44,0.0,20,TD,0.235,0,no_mismatch
11373.18,11373.18,0.0,54,none,0.2347,0,stuck_payment
24142.56,28444.77,17.82,77,none,0.2193,0,wrong_amount
4519.25,4519.25,0.0,70,TD,0.2173,1,duplicate_charge
50439.2,50439.2,0.0,105,none,0.1483,0,no_mismatch
77276.57,77276.57,0.0,31,none,0.0444,0,no_mismatch
22182.17,22182.17,0.0,8,none,0.152,0,no_mismatch
17595.81,17595.81,0.0,72,none,0.2433,0,stuck_payment
67167.12,67167.12,0.0,41,none,0.108,0,stuck_payment
18469.51,18469.51,0.0,31,none,0.0822,0,no_mismatch
80597.04,80597.04,0.0,72,none,0.11,0,wrong_amount
38903.06,38903.06,0.0,43,none,0.2313,0,stuck_payment
9337.15,9337.15,0.0,25,BD,0.1005,0,no_mismatch
4050.8,3072.76,24.1444,62,TD,0.2277,0,stuck_payment
90908.52,90908.52,0.0,25,none,0.0382,0,duplicate_charge
47944.2,47944.2,0.0,78,none,0.1052,0,no_mismatch
32229.34,32229.34,0.0,60,none,0.0962,0,stuck_payment
51330.37,51330.37,0.0,13,none,0.1834,0,no_mismatch
32091.31,32091.31,0.0,41,none,0.145,0,stuck_payment
14677.68,14677.68,0.0,120,none,0.1828,0,stuck_payment
19699.56,19699.56,0.0,73,none,0.1298,0,stuck_payment
68516.18,68516.18,0.0,106,none,0.1837,0,wrong_amount
46136.82,46136.82,0.0,46,TD,0.1829,0,no_mismatch
91698.25,91698.25,0.0,83,none,0.1357,0,stuck_payment
7525.61,7525.61,0.0,7,none,0.109,0,no_mismatch
23220.2,23220.2,0.0,2,TD,0.1194,1,duplicate_charge
63809.09,63809.09,0.0,117,none,0.1271,1,duplicate_charge
55209.19,63978.28,15.8834,69,none,0.0141,0,wrong_amount
67435.89,67435.89,0.0,117,TD,0.2303,0,wrong_amount
24172.79,24172.79,0.0,33,none,0.0742,0,stuck_payment
37367.85,37367.85,0.0,73,TD,0.1773,0,no_mismatch
82823.4,58183.23,29.7503,12,none,0.1005,0,wrong_amount
63711.13,63711.13,0.0,11,none,0.1141,0,no_mismatch
56629.08,56629.08,0.0,13,none,0.2306,0,duplicate_charge
90137.17,90137.17,0.0,73,none,0.0212,1,no_mismatch
92565.92,92565.92,0.0,73,none,0.053,0,no_mismatch
1664.24,1664.24,0.0,19,none,0.1811,0,no_mismatch
7786.06,8348.52,7.2239,87,none,0.0896,0,wrong_amount
14081.06,14081.06,0.0,93,BD,0.1889,0,no_mismatch
9858.81,9858.81,0.0,10,none,0.1946,0,no_mismatch
39730.63,39730.63,0.0,4,none,0.1981,0,no_mismatch
22891.03,22891.03,0.0,49,none,0.1731,0,stuck_payment
8660.84,8660.84,0.0,103,TD,0.0276,0,duplicate_charge
38062.0,38062.0,0.0,20,none,0.086,0,duplicate_charge
619.0,619.0,0.0,47,none,0.0345,1,duplicate_charge
43154.85,43154.85,0.0,66,none,0.0163,0,stuck_payment
9397.12,9397.12,0.0,42,none,0.013,0,stuck_payment
77938.99,77938.99,0.0,72,none,0.2448,0,stuck_payment
17041.33,17041.33,0.0,18,TD,0.0744,0,no_mismatch
16804.02,16804.02,0.0,39,none,0.0285,0,no_mismatch
24734.35,24734.35,0.0,77,none,0.1199,0,stuck_payment
776.06,776.06,0.0,108,none,0.203,0,stuck_payment
33540.15,33540.15,0.0,111,none,0.1527,0,stuck_payment
60360.81,60360.81,0.0,62,none,0.2415,0,stuck_payment
29215.67,29215.67,0.0,63,none,0.1977,0,stuck_payment
28101.98,28101.98,0.0,47,BD,0.1453,0,no_mismatch
54608.35,54608.35,0.0,71,BD,0.1845,0,no_mismatch
21043.87,21043.87,0.0,107,none,0.2066,0,stuck_payment
40973.24,40973.24,0.0,82,none,0.0706,0,stuck_payment
42370.48,42370.48,0.0,58,none,0.125,0,wrong_amount
50710.6,50710.6,0.0,89,none,0.0188,0,stuck_payment
70193.27,70193.27,0.0,77,none,0.0304,0,stuck_payment
65794.4,65794.4,0.0,83,none,0.1452,0,duplicate_charge
64709.69,64709.69,0.0,43,none,0.1133,1,duplicate_charge
25947.96,25947.96,0.0,67,none,0.175,0,stuck_payment
37474.54,37474.54,0.0,87,none,0.1301,0,stuck_payment
2553.81,2234.53,12.5021,15,none,0.1852,0,wrong_amount
34372.36,34372.36,0.0,67,none,0.1243,0,wrong_amount
69706.65,69706.65,0.0,39,BD,0.1806,1,duplicate_charge
34373.49,26123.14,24.0021,67,TD,0.0484,0,no_mismatch
95850.42,95850.42,0.0,52,none,0.0547,0,stuck_payment
39618.68,39618.68,0.0,114,TD,0.1521,0,no_mismatch
70503.09,70503.09,0.0,97,none,0.201,0,stuck_payment
79970.29,79970.29,0.0,47,none,0.1198,0,stuck_payment
86277.39,86277.39,0.0,82,none,0.1033,0,stuck_payment
11511.78,11511.78,0.0,59,none,0.2053,0,stuck_payment
29814.74,29814.74,0.0,11,none,0.0852,0,no_mismatch
11783.2,11783.2,0.0,19,none,0.1104,0,no_mismatch
38432.63,31105.07,19.066,72,TD,0.0793,0,no_mismatch
84214.32,84214.32,0.0,111,none,0.0123,0,stuck_payment
81540.07,81540.07,0.0,65,none,0.1082,0,stuck_payment
71043.22,71043.22,0.0,22,BD,0.0174,0,no_mismatch
29279.78,29279.78,0.0,69,TD,0.1974,0,no_mismatch
77277.51,77277.51,0.0,66,BD,0.0374,0,no_mismatch
82345.95,82345.95,0.0,106,none,0.1924,0,stuck_payment
21932.34,21932.34,0.0,95,none,0.1903,0,stuck_payment
99931.34,99931.34,0.0,45,none,0.0309,0,stuck_payment
11826.86,11826.86,0.0,27,none,0.1511,0,no_mismatch
71104.32,71104.32,0.0,22,none,0.1984,0,no_mismatch
80563.51,80563.51,0.0,69,TD,0.1393,0,no_mismatch
70434.97,70434.97,0.0,35,none,0.1335,0,no_mismatch
81536.57,99884.85,22.5031,118,BD,0.0766,0,no_mismatch
70172.51,73252.04,4.3885,107,TD,0.2125,0,no_mismatch
